SLAVE_ID,GROUP_ID,FLOW_VALUE,DIGITAL_INPUT,DATE,TIME
2-,3G,0003.31,0,07/11/2020,00:12:22
4-,3G,0001.82,0,07/11/2020,00:12:26
3-,3G,0000.00,0,07/11/2020,00:12:29
2-,3G,0003.29,0,07/11/2020,00:12:31
4-,3G,0003.26,0,07/11/2020,00:12:35
3-,3G,0002.43,0,07/11/2020,00:12:38
2-,3G,0000.00,0,07/11/2020,00:12:40
4-,3G,0000.00,0,07/11/2020,00:12:44
3-,3G,0003.26,0,07/11/2020,00:12:47
2-,3G,0000.00,0,07/11/2020,00:12:49
4-,3G,0000.00,0,07/11/2020,00:12:53
3-,3G,0000.00,0,07/11/2020,00:12:56
2-,3G,0003.29,0,07/11/2020,00:12:58
4-,3G,0001.80,0,07/11/2020,00:13:02
3-,3G,0000.00,0,07/11/2020,00:13:05
2-,3G,0003.33,0,07/11/2020,00:13:07
4-,3G,0003.31,0,07/11/2020,00:13:11
3-,3G,0002.40,0,07/11/2020,00:13:14
2-,3G,0000.00,0,07/11/2020,00:13:16
4-,3G,0000.00,0,07/11/2020,00:13:20
3-,3G,0003.29,0,07/11/2020,00:13:23
2-,3G,0000.00,0,07/11/2020,00:13:25
4-,3G,0000.00,0,07/11/2020,00:13:29
3-,3G,0000.00,0,07/11/2020,00:13:32
2-,3G,0003.29,0,07/11/2020,00:13:34
4-,3G,0001.78,0,07/11/2020,00:13:38
3-,3G,0000.00,0,07/11/2020,00:13:41
2-,3G,0003.31,0,07/11/2020,00:13:43
4-,3G,0003.31,0,07/11/2020,00:13:47
3-,3G,0002.47,0,07/11/2020,00:13:50
2-,3G,0000.00,0,07/11/2020,00:13:52
4-,3G,0000.00,0,07/11/2020,00:13:56
3-,3G,0003.29,0,07/11/2020,00:13:59
2-,3G,0000.00,0,07/11/2020,00:14:01
4-,3G,0000.00,0,07/11/2020,00:14:05
3-,3G,0000.00,0,07/11/2020,00:14:08
2-,3G,0003.24,0,07/11/2020,00:14:10
4-,3G,0001.74,0,07/11/2020,00:14:14
